BHK,project,Location,City,Total sqft,price_sqft,price
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,825,"25,692",2.11 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,775,"23,681",1.83 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,528,"25,692",1.35 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,511,"25,692",1.31 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,739,"23,681",1.75 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,507,"25,692",1.3 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,506,"25,692",1.3 Cr
2 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,684,"31,000",2.12 Cr
2 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,617,"31,000",1.91 Cr
1 BHK Apartment,Ekdanta 24 KaratKurla,Kurla,Mumbai,447,"21,973",97.99 L
3 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,1150,"21,000",2.41 Cr
1 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,501,"21,000",1.05 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,623,"21,000",1.3 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,631,"21,000",1.32 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,744,"21,000",1.56 Cr
3 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,868,"14,861",1.29 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,687,"15,574",1.07 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,636,"15,723",1 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,691,"15,629",1.08 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,674,"15,727",1.06 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,680,"15,588",1.06 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,631,"15,768",99.5 L
3 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,862,"13,921",1.2 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,682,"15,542",1.06 Cr
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,616,"15,746",97 L
1 BHK Apartment,Puraniks City Sector 1Neral,Neral,Mumbai,368,"5,771",21.23 L
2 BHK Apartment,SHREE KRISHNA PinnacleChembur,Chembur,Mumbai,735,"26,531",1.95 Cr
2 BHK Apartment,Siddhivinayak Siddhivinayak GauravTaloja,Taloja,Mumbai,990,"4,591",45.45 L
1 BHK Apartment,Siddhivinayak Siddhivinayak GauravTaloja,Taloja,Mumbai,695,"4,576",31.8 L
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,576,"10,416",60 L
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,576,"10,416",60 L
1 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,433,"10,392",45 L
1 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,433,"10,392",45 L
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,694,"10,230",71 L
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,694,"10,230",71 L
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,043",2.2 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,043",2.2 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,043",2.2 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,043",2.2 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1245,"12,048",1.49 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1245,"12,048",1.49 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1745,"11,977",2.08 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1745,"11,977",2.08 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1335,"12,659",1.68 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1335,"12,659",1.68 Cr
2 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,542,"9,207",49.9 L
1 BHK Apartment,Kalpataru Vivant South Wing BAndheri East,Andheri East,Mumbai,424,"28,067",1.19 Cr
2 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,451,"9,146",41.24 L
1 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,330,"9,309",30.71 L
1 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,326,"9,488",30.93 L
2 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,513,"8,544",43.83 L
2 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,613,"22,800",1.39 Cr
1 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,405,"22,800",92.34 L
1 RK Studio Apartment,A Plus Golden VanVangani,Vangani,Mumbai,241,"2,701",6.5 L
2 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,770,"3,849",29.64 L
2 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,790,"3,849",30.41 L
1 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,540,"3,850",20.79 L
1 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,605,"3,849",23.29 L
1 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,430,"3,848",16.55 L
2 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,646,"22,601",1.46 Cr
1 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,323,"21,641",69.9 L
2 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,595,"21,386",1.27 Cr
1 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,418,"21,550",90.08 L
2 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,584,"21,393",1.24 Cr
1 BHK Apartment,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,444,"19,943",88.54 L
1 BHK Apartment,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,390,"20,014",78.05 L
1 BHK Apartment,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,408,"19,988",81.55 L
3 BHK Apartment,Nrose Northern HillsDahisar,Dahisar,Mumbai,1093,"20,768",2.27 Cr
2 BHK Apartment,Nrose Northern HillsDahisar,Dahisar,Mumbai,701,"21,255",1.49 Cr
1 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,437,"22,196",97 L
2 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,619,"23,424",1.45 Cr
1 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,434,"22,119",96 L
1 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,385,"22,857",88 L
1 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,477,"25,157",1.2 Cr
1 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,584,"24,828",1.45 Cr
2 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,712,"23,876",1.7 Cr
2 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,871,"26,406",2.3 Cr
1 RK Studio Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,502,"3,298",16.56 L
1 BHK Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,635,"3,299",20.95 L
1 BHK Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,535,"3,299",17.65 L
1 BHK Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,565,"3,299",18.64 L
1 RK Studio Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,380,"3,600",13.68 L
3 BHK Apartment,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,1292,"29,179",3.77 Cr
2 BHK Apartment,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,758,"29,683",2.25 Cr
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,345,"5,771",19.91 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,352,"5,823",20.5 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,294,"5,442",16 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,366,"5,814",21.28 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,333,"5,804",19.33 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,358,"5,835",20.89 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,372,"5,825",21.67 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,380,"5,805",22.06 L
1 BHK Apartment,B G Shirke Monte Verita North AnnexeBorivali East,Borivali East,Mumbai,380,"23,157",88 L
2 BHK Apartment,B G Shirke Monte Verita North AnnexeBorivali East,Borivali East,Mumbai,764,"24,214",1.85 Cr
2 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,708,"15,408",1.09 Cr
3 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,923,"15,260",1.4 Cr
2 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,694,"15,392",1.06 Cr
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,401,"6,130",24.58 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,440,"6,434",28.31 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,334,"6,571",21.95 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,383,"6,532",25.02 L
2 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1275,"11,843",1.51 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1875,"11,520",2.16 Cr
2 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1415,"11,660",1.65 Cr
4 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,3295,"11,562",3.81 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1890,"11,534",2.18 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1855,"11,536",2.14 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,2025,"11,456",2.32 Cr
2 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1400,"11,714",1.64 Cr
4 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,3405,"11,541",3.93 Cr
2 BHK Apartment,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,662,"5,392",35.69 L
1 BHK Apartment,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,438,"5,392",23.61 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,280,"6,817",19.09 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,278,"6,474",18 L
1 BHK Apartment,Royal HeritageVangani,Vangani,Mumbai,410,"4,243",17.4 L
1 BHK Apartment,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,550,"3,000",16.5 L
2 BHK Apartment,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,760,"3,000",22.8 L
1 BHK Apartment,Shree Karma HeightsVasai,Vasai,Mumbai,685,"5,309",36.37 L
2 BHK Apartment,Shree Karma HeightsVasai,Vasai,Mumbai,1100,"5,454",60 L
3,NA,Dombivali East,Mumbai,1595,"9,090",1.45 Cr
2 BHK Apartment,Reputed Builder Swapna ShilpaNo41Chembur,Chembur,Mumbai,570,"19,298",1.1 Cr
1 BHK Apartment,PNK Poonam Sagar ComplexMira Road East,Mira Road East,Mumbai,580,"11,896",69 L
2,NA,Badlapur East,Mumbai,1000,"3,000",30 L
1 BHK Apartment,Chandiwala Pearl HeightAndheri West,Andheri West,Mumbai,534,"2,902",15.5 L
1 BHK Apartment,Reputed Builder Shiv KalaVasai east,Vasai east,Mumbai,555,"6,306",35 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,246,"27,909",68.65 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,503,"27,598",1.38 Cr
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,514,"27,591",1.41 Cr
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,323,"25,664",82.89 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,237,"25,832",61.22 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,275,"25,745",70.8 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,216,"25,894",55.93 L
1,NA,Neral,Mumbai,460,"4,130",19 L
1 RK Studio Apartment,Nirmiti Rajmata ComplexBhiwandi,Bhiwandi,Mumbai,300,"5,333",16 L
1 BHK Apartment,Nirvana Wollywood Phase IIIWada,Wada,Mumbai,507,"5,818",29.5 L
2,NA,Dadar East,Mumbai,750,"30,000",2.25 Cr
1,NA,Colaba,Mumbai,635,"37,795",2.4 Cr
2 BHK Apartment,Marathon GalaxyMulund West,Mulund West,Mumbai,978,"19,427",1.9 Cr
2 BHK Apartment,Mahadev Mahadev ComplexMira Road East,Mira Road East,Mumbai,810,"11,111",90 L
2,NA,Panvel,Mumbai,887,"9,582",85 L
1,NA,Badlapur West,Mumbai,387,"2,971",11.5 L
